Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
44,28,O=C1CC(C)CC(C)C1,"H12, H18",C4,1,46,TRUE,93.81469,0.20135,0.080815,0.182884,0.024817,-5.1443,-4.9576,-5.0794,-5.028167593,-0.074238,0.8581836253,0.9518083469,0.9518083469,0.917580975,36.43484021,83.91071981,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.195667593,2.547932407,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
44,28,O=C1CC(C)CC(C)C1,"H10, H11, H22, H23",C3,1,0,FALSE,90.7114,0.22851,0.131242,0.187421,0.033307,-6.4069,-6.3663,-6.4066,-6.394557495,-0.003995,1.771061275,1.779762903,1.771224646,1.773596654,35.42313402,74.50281729,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.562057495,1.181542505,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
44,28,O=C1CC(C)CC(C)C1,"H13-H15, H19-H21",C5,1,0,FALSE,100.52799,0.20418,0.132231,0.15943,0.024617,-5.8892,-5.7971,-5.872,-5.875661758,-0.038197,1.089979112,1.152788462,1.152788462,1.149446965,37.66783337,64.71897173,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,4.043161758,1.700438242,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
44,28,O=C1CC(C)CC(C)C1,"H16, H17",C6,1,0,FALSE,98.25234,0.20948,0.112481,0.176336,0.024298,-5.5617,-5.3918,-5.4112,-5.426855135,-0.009349,1.009526804,1.095207505,1.032246041,1.038420378,38.43178751,75.82587196,9,C1,C=CS(=O)(C1=CC=CC=C1)=O,-1.8325,-7.5761,3.594355135,2.149244865,61.13649183,0,0,0,0,0,0,0,0,1,0,1,0
2,29,O=C1CC(CCC(C)C)CC(C)(C)C1,H22,C7,1,59,TRUE,94.850945,0.18527,0.067389,0.183335,0.018165,-4.9088,-4.7785,-4.9088,-4.852744796,-0.07729,0.7667601654,0.8450589505,0.8404094136,0.8091396277,39.25844681,83.89460356,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,2.889544796,2.772355204,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,"H15, H16",C3,1,0,FALSE,90.56275,0.21782,0.112594,0.198011,0.032677,-6.3587,-6.3196,-6.3528,-6.348030342,-0.007246,1.768846415,1.80650028,1.780165984,1.788446104,42.84610519,75.75393933,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,4.384830342,1.277069658,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,H17,C4,1,0,FALSE,94.42741,0.19784,0.101084,0.200677,0.022096,-5.1128,-4.8525,-4.9582,-4.952444642,-0.042685,0.8947502032,0.9865508622,0.9142912978,0.9334779944,51.51666325,86.35132217,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,2.989244642,2.672655358,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,"H18, H19",C5,1,0,FALSE,96.498566,0.19867,0.099338,0.177946,0.020801,-5.3363,-5.2402,-5.3245,-5.289397099,-0.042,0.9488020226,0.9926769129,0.9524984571,0.9589117439,41.37429437,76.9608649,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.326197099,2.335702901,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,"H20, H21",C6,1,0,FALSE,96.40716,0.19804,0.099467,0.17589,0.020417,-5.3439,-5.1967,-5.2258,-5.246059772,-0.007156,0.9016017141,1.04341366,0.9574468584,0.9656323658,41.02245505,76.88744062,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.282859772,2.379040228,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
45,29,O=C1CC(CCC(C)C)CC(C)(C)C1,H23-H28,C9,1,0,FALSE,100.4272,0.1987,0.11329,0.154194,0.021104,-5.7152,-5.6547,-5.7009,-5.688117801,-0.041511,1.046804476,1.082362977,1.069603643,1.065071611,31.3495418,64.45448304,3,C3,O=C(/C=C\C(OC)=O)OC,-1.9632,-7.6251,3.724917801,1.936982199,71.91406126,0,0,0,0,0,0,0,1,1,0,1,0
