Reaction #,Substrate #,Substrate SMILES,Hydrogen,Carbon,Source,Yield,HAT,ML BDE,NBO Charge,Mulliken Charge,Lowdin Charge,Hirshfeld Charge,Minimum SOMO,Maximum SOMO,Lowest energy SOMO,Average SOMO,Radical Hirshfeld Charge,Minimum electrophilicity,Maximum electrophilicity,Lowest energy electrophilicity,Average electrophilicity,% Vbur H,% Vbur radical,Shellbur H,Shellbur radical,All SOMOS,SOMO energies,All electrophilicities,Olefin #,Olefin carbon,Olefin SMILES,Olefin LUMO,Olefin HOMO,SOMO/LUMO difference,SOMO/HOMO difference,% Vbur olefin,Amide,Carbamate,Aldehyde,Phenyl ring,Ether,Halogen,Pyridine,Alkyl chain,Alkyl ring,Ester,Ketone,nitrile
60,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",13,C1,C=CC(OC(C)(C)C)=O,-1.858,-7.5221,4.635574663,1.028525337,63.41817129,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,H10,C2,2,86,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",5,C1,C=CC(C)=O,-1.9354,-7.0384,3.657560739,1.445439261,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",5,C1,C=CC(C)=O,-1.9354,-7.0384,4.236076719,0.8669232809,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
61,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",5,C1,C=CC(C)=O,-1.9354,-7.0384,4.558174663,0.5448253375,60.77911164,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,H10,C2,2,73,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.275271149,38.68951091,82.05481261,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",4,C1,C=CC#N,-1.9782,-8.1074,3.614760739,2.514439261,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.05233057,26.68891492,62.42368698,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",4,C1,C=CC#N,-1.9782,-8.1074,4.193276719,1.935923281,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
62,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.275271149,35.55727256,72.75599354,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",4,C1,C=CC#N,-1.9782,-8.1074,4.515374663,1.613825337,59.79266387,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,H10,C2,2,68,TRUE,96.22105,0.20207,0.091896,0.189346,0.02976,-5.6488,-5.545,-5.6488,-5.592960739,-0.07321,1.041474044,1.064437838,1.064437838,1.05233057,38.68951091,82.05481261,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",14,C1,C=CC(N)=O,-1.4016,-7.1731,4.191360739,1.580139261,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,"H7-H9, H11-H13","C1, C3",2,0,FALSE,101.13838,0.21305,0.116107,0.149512,0.02933,-6.2051,-6.1251,-6.2051,-6.171476719,0.002172,1.25926846,1.291325507,1.291325507,1.275271149,26.68891492,62.42368698,14.53118737,28.75518052,"[-6.1251, -6.1768, -6.2051]","[-249.89207249598502, -249.891891643397, -249.892282112763]","[1.2684391590031567, 1.2592684604285687, 1.2913255073753558]",14,C1,C=CC(N)=O,-1.4016,-7.1731,4.769876719,1.001623281,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
63,35,CC(C)CC#N,"H15, H16",C4,2,0,FALSE,92.77379,0.24169,0.139739,0.198642,0.050388,-6.5139,-6.4837,-6.4837,-6.493574663,0.063723,1.732749168,1.734081516,1.732749168,1.05233057,35.55727256,72.75599354,17.82594241,59.16650472,"[-5.545, -5.6488, -5.5486]","[-249.902359319821, -249.90281116389798, -249.90231103350402]","[1.041474044280768, 1.0644378381354787, 1.0431936305114915]",14,C1,C=CC(N)=O,-1.4016,-7.1731,5.091974663,0.6795253375,60.80402992,0,0,0,0,0,0,0,1,0,0,0,1
